requester_id	num_followers
AQ292PUTQ5UI7	1
A3I2ONLD2ZQWH4	1
A1F1L6P4L69ZJG	1
A329CNW2DQGVJ3	1
ALN80XHBXTWRR	1
A3RYMN96RLLCXU	1
A625PKZQ6F1BA	1
A1MPL3YJI1LE8G	1
A1WBOT7W4K55JV	1
A2U3M0QQNRQI09	1
A3AX0JUXROUMMG	1
A3OWQ21AVFXN4E	1
A2QWKYRNNJLM1O	1
AHB3XOAZXMZI4	1
AF2N0YJJ856KU	1
AQHP2BRXTHJUD	1
A3B1BZMT4GYKR5	1
A2VZPREYP5UDE1	1
AOZDAKDJ4NZF0	1
A3P94KJYF2KBLK	1
A393H8OBDAYXMJ	1
A2MDSGFS0073LW	1
A149ACRYLEE5PP	1
A2X0VTUFTKQF3R	1
A2TFGM2DHIYB6B	1
A22WCEL3CM9CHD	1
AXSI7YAU7R7L0	1
A34BVJOZR6H6F7	1
A1THGIZKDKHAXS	1
A34QD6PUK3468O	1
A3P9S091Z4E4YP	1
AFOMAEVK4ZU5W	1
A1I9UTZPN7DH5M	1
A20TPGT5XA3LB8	1
A1AMT5PARECO8E	1
A3SD561NK5W3C6	1
AO2KH7R5BYDON	1
A3TNOTOLJ1IEUK	1
A1BOHADFT0X1OT	1
A3IVP857YLUUKJ	1
A209O4163HKU66	1
A3VW8A3BOUE7Q2	1
A303CBLKB7HBZO	1
A1LLE7NVUHM2ZX	1
A2O082RJ3GFK5U	1
A1N7CZTVXCZEWR	1
A1SFG5VCOORFU5	1
ALB07MEKFWKUN	1
A1PIAZPU9OQ68N	1
AF72CZH9468MK	1
A2GF5ZKFAAI8KB	1
A263O8JPDCVJ8I	1
A1ZGK0OLH0DB1W	1
A2D5FV57KXHFKN	1
A14DDT9HK8F9N8	1
A22WZIUWXLJ30D	1
A3HXCIAG0NQ3K7	1
A1N4FTLRWRGAMG	1
A2D8C62K1A8KP1	1
A33I6WL4EVDOT	1
A2E7AY9FV0CR5L	1
A14A6PJOANLTP5	1
A1A39T4EKQIE9K	1
A1KKUMD9Z4FCD5	1
A3FMP0PP7KZHY7	1
A1S2I2VGTY5BAX	1
A33A1NSOMCX6DW	1
A3HLX5VXNHVITM	1
AE26W4VOQWFGI	1
A15X15L8HB3PO6	1
A7GC7TFL6VHJ2	1
A2HWR8G638YKQ1	1
A1S54N1BUA7HY6	1
A15OAOHKBJPP7D	1
A3HQF4BKXBPO3M	1
AUP8ZZ1Z21KHE	1
ASPR7E8JC3NYI	1
A3FFT138GZRKXF	1
A2Q1KVY3MURQ9D	1
A498BRW6ZUIMN	1
AMS1YB9ZYP9SM	1
A2Z2EB6ZLZOI4V	1
A2ISFY93WKRH4R	1
A2N8CABDFRA47F	1
A3882YOCD4JWN8	1
A372K17HINR7NW	1
AMD6OCZNPP47V	1
A134T7UJ7WTSL5	1
A2NUVL0Q9ZVTM7	1
AVM6Y04W5T8RX	1
A2WV8RMINY2PI1	1
AYBHLX5IH8J39	1
A1C8LTY41EOIYZ	1
ASSAD5NU706VE	1
A2CADSBQ5DP6IO	1
ADDPBQ3O9340Q	1
A3O6W4NP00S2AS	1
A24YY6JHKXD44N	1
A1J0Z7P34X8L9Q	1
A1ZR7K8U5U1XM5	1
A3YAR3S7T9K2J	1
ANP2O6SIRNA5H	1
A1Q499OCOVLIQV	1
A2YQ70G2WN5RKI	1
A3F7LYWUVM3U09	1
AGIHZ9FWD0I9S	1
AG3CLLURKXHR2	1
AL583HME16L25	1
A3AZIIU9Q53B2M	1
AOLIY8EYJQT30	1
AG5RSCJEOS63A	1
AV0Z3PR8L4GVG	1
A2AVAAOFBMT5A7	1
A1IKT38Y4OUR0G	1
AEJIBSA3R5FDB	1
A2MD63TOQNAKBW	1
A2G4LQNR75Y71X	1
A3UZP6E2ZGDFMO	1
A165LMPFHNTKFG	1
A2YALJOLIU726Y	1
A2RVNIG4NR0PL3	1
A1PYKYJFJ4ZOUH	1
A1XFGLB9IGB4KE	1
