hitsArrived,avgRewardsArrived,hitsCompleted
2827.0,0.12813583303855677,4445.0
1301.0,0.25729438893159107,4289.0
1365.0,0.242996336996337,2613.0
1146.0,0.2669371727748691,3386.0
1422.0,0.3192053445850914,2942.0
1396.0,0.31202722063037247,2622.0
3019.0,0.24197747598542563,2449.0
5384.0,0.07729197622585438,2536.0
5968.0,0.12079926273458444,6136.0
3631.0,0.14314789314238502,6234.0
4436.0,0.1857213706041479,8677.0
4211.0,0.11903823319876514,3999.0
8286.0,0.08354573980207579,4041.0
3056.0,0.1543390052356021,3023.0
5949.0,0.1403076147251639,2954.0
5152.0,0.14267080745341615,2729.0
3672.0,0.14666938997821352,3893.0
2943.0,0.21202514441046552,3692.0
2468.0,0.17512560777957858,3483.0
4372.0,0.0969647758462946,5233.0
2507.0,0.16735540486637415,5629.0
4545.0,0.12478987898789878,5339.0
4373.0,0.1092590898696547,5782.0
7190.0,0.07043671766342142,5220.0
1621.0,0.2723318938926588,4324.0
1734.0,0.17961937716262974,3932.0
1368.0,0.20411549707602342,2638.0
1238.0,0.21579159935379644,2407.0
1929.0,0.21680145152928978,2580.0
1276.0,0.2668338557993731,2440.0
1230.0,0.2521707317073171,2325.0
2842.0,0.12166783954961294,2684.0
5512.0,0.09270682148040639,5550.0
4734.0,0.11015842839036756,5534.0
2522.0,0.22068992862807296,4080.0
