pay	comm	fast	fair	reviews	tos_flags	followers
3.54	4.14	4.57	4.13	0.27	0	1
5	0	4	5	0.01	0	1
3.8	5	5	5	0.05	0	1
5	5	5	5	0.08	0	1
3.42	3	4.89	4.8	0.11	0	1
5	5	5	5	0.04	0	1
3	3	3	3	0.02	0	1
2	0	5	5	0.01	0	1
2.92	1.8	2.38	2.78	0.12	0	1
4.6	5	5	5	0.06	0	1
5	5	4.96	5	0.24	0	1
2.4	3	4.29	4.43	0.09	0	1
1	1	1	1	0.01	0	1
3.6	1	3.25	3	0.05	0	1
3	5	5	5	0.01	0	1
4.8	3	4.33	4	0.05	0	1
4	5	4.33	5	0.07	0	1
2.7	5	4.25	5	0.11	0	1
3	3	5	5	0.01	0	1
2.31	2.6	3.38	3.22	0.13	0	1
5	0	5	5	0.01	0	1
5	0	5	5	0.03	0	1
5	0	5	5	0.02	0.21	1
5	0	5	5	0.02	0	1
4.33	4.4	5	4.2	0.06	0	1
4.75	5	4.88	4.94	0.16	0	1
4.2	3.67	4.2	4.2	0.05	0	1
3.95	5	4.53	4.78	0.23	0.21	1
4.58	4.2	4.33	4.79	0.19	0.21	1
3.22	1.8	3.33	3.5	0.23	0	1
3.4	3.25	4.69	4.62	0.21	0	1
3.06	5	4.07	4.71	0.17	0	1
3	3	3.71	3.5	0.1	0	1
5	0	5	5	0.03	0	1
5	5	5	5	0.03	0	1
4.42	3.86	4.92	4.38	0.12	0	1
2.4	1	4.2	3.8	0.05	0	1
5	0	5	5	0.01	0	1
4.63	3.67	4.83	4.63	0.21	0.21	1
1.5	4	3	2.33	0.04	0	1
5	5	5	5	0.1	0	1
5	5	5	5	0.03	0	1
5	5	5	5	0.03	0	1
4.68	4.52	4.72	4.76	0.51	0	1
4	5	5	5	0.01	0	1
4	0	5	5	0.01	0	1
4.5	5	5	5	0.08	0.21	1
5	5	5	5	0.08	0	1
4.5	3	5	4.75	0.04	0	1
5	5	5	5	0.02	0	1
1	0	0	1	0.02	0	1
5	0	5	5	0.04	0	1
3	1	3.5	3	0.04	0	1
2.71	2.33	2.43	2.71	0.07	0	1
