year,batch_size,instances
2014,239,15
2014,234,9
2014,235,4
2014,236,4
2014,237,11
2014,230,15
2014,231,8
2014,232,12
2014,233,10
2014,2462,1
2014,2227,1
2014,2224,3
2014,992,7
2014,2221,2
2014,1,341114
2014,5925,1
2014,5920,1
2014,20639,2
2014,5214,1
2014,146,14
2014,1199,2
2014,144,28
2014,145,19
2014,142,11
2014,143,20
2014,140,22
2014,141,20
2014,20701,1
2014,257854,1
2014,148,15
2014,149,21
2014,4507,1
2014,4501,1
2014,19806,1
2014,15179,1
2014,635,2
2014,26067,1
2014,2088,1
2014,2089,1
2014,3400,2
2014,2082,1
2014,2080,2
2014,2081,1
2014,2087,3
2014,2085,2
2014,1191,1
2014,2538,1
2014,2539,1
2014,2533,2
2014,2536,2
2014,2713,1
2014,9364,1
2014,3093,2
2014,1194,8
2014,10348,1
2014,7072,1
2014,5073,1
2014,1196,3
2014,1832,3
2014,1831,1
2014,1837,1
2014,1834,1
2014,1835,3
2014,1838,4
2014,1839,2
2014,3793,1
2014,6248,1
2014,2407,1
2014,4983,2
2014,2150,3
2014,2151,1
2014,2153,2
2014,933,1
2014,932,4
2014,931,1
2014,10685,1
2014,2158,1
2014,936,1
2014,935,6
2014,934,5
2014,3091,2
2014,11830,1
2014,1955,2
2014,1954,1
2014,1956,2
2014,1951,1
2014,1950,2
2014,1953,1
2014,1952,1
2014,1958,1
2014,4409,1
2014,3248,2
2014,14997,1
2014,3243,1
2014,3241,1
2014,37353,1
2014,7313,1
2014,828,5
2014,1824,1
2014,825,5
2014,824,3
2014,826,3
2014,821,2
2014,820,1
2014,823,2
2014,2284,1
2014,4400,1
2014,15621,1
2014,1820,1
2014,1483,1
2014,619,2
2014,1487,2
2014,1823,2
2014,1484,1
2014,3306,1
2014,20297,1
2014,1489,1
2014,1488,1
2014,5490,1
2014,5491,1
2014,5492,1
2014,1713,2
2014,1712,1
2014,795,6
2014,1710,3
2014,793,10
2014,792,4
2014,9382,1
2014,790,3
2014,3050,1
2014,1718,1
2014,9388,1
2014,6310,1
2014,799,8
2014,798,2
2014,15821,1
2014,1270,3
2014,2799,1
2014,1271,1
2014,2415,1
2014,1272,2
2014,3095,2
2014,1139,2
2014,611,2
2014,1133,3
2014,1131,2
2014,1134,4
2014,2792,2
2014,4975,1
2014,23052,1
2014,7781,1
2014,3018,1
2014,2063,2
2014,3012,3
2014,3013,2
2014,3010,5
2014,3016,2
2014,3017,4
2014,3014,4
2014,925,4
2014,519,8
2014,518,5
2014,2149,1
2014,1009,3
2014,1008,2
2014,1007,1
2014,510,3
2014,513,3
2014,512,3
2014,515,2
2014,514,6
2014,1001,13
2014,1000,111
2014,623,2
2014,622,5
2014,621,2
2014,12874,1
2014,1223,1
2014,626,3
2014,625,3
2014,624,4
2014,629,6
2014,628,3
2014,4184,1
2014,1229,4
2014,6534,3
2014,6530,2
2014,15552,2
2014,4342,1
2014,2883,2
2014,2880,1
2014,2881,1
2014,2889,1
2014,71065,1
2014,44977,1
2014,8615,1
2014,2,26542
